# Chado database date: 2024-09-30 21:55
gene_systematic_id	gene_name	synonyms	gene_product
SPNCRNA.1040			non-coding RNA, possible alternative UTR
SPNCRNA.1041			non-coding RNA
SPNCRNA.1042			non-coding RNA
SPNCRNA.1043			non-coding RNA
SPNCRNA.1044			non-coding RNA
SPNCRNA.1045			non-coding RNA
SPNCRNA.1046			non-coding RNA
SPNCRNA.1047			non-coding RNA, possible alternative UTR
SPNCRNA.1048			non-coding RNA, possible alternative UTR
SPNCRNA.1049			non-coding RNA
SPNCRNA.105			non-coding RNA
SPNCRNA.1050			non-coding RNA, possible alternative UTR
SPNCRNA.1051			non-coding RNA
SPNCRNA.1052			non-coding RNA
SPNCRNA.1053			non-coding RNA, possible alternative UTR
SPNCRNA.1054			non-coding RNA, possible alternative UTR
SPNCRNA.1055			non-coding RNA, possible alternative UTR
SPNCRNA.1056			non-coding RNA
SPNCRNA.1057			non-coding RNA
SPNCRNA.1058			non-coding RNA
SPNCRNA.1059			non-coding RNA, possible alternative UTR
SPNCRNA.1060			non-coding RNA
SPNCRNA.1061			non-coding RNA
SPNCRNA.1062			non-coding RNA, possible alternative UTR
SPNCRNA.1063			non-coding RNA, possible alternative UTR
SPNCRNA.1064			non-coding RNA
SPNCRNA.1065			non-coding RNA
SPNCRNA.1066			non-coding RNA
SPNCRNA.1067			non-coding RNA
SPNCRNA.1068			non-coding RNA, possible alternative UTR
SPNCRNA.1069			non-coding RNA, possible alternative UTR
SPNCRNA.107			non-coding RNA
SPNCRNA.1070			non-coding RNA
SPNCRNA.1071			non-coding RNA, possible alternative UTR
SPNCRNA.1072			non-coding RNA
SPNCRNA.1073			non-coding RNA
SPNCRNA.1074			non-coding RNA
SPNCRNA.1075		new12-antisense-1	non-coding RNA
SPNCRNA.1076			non-coding RNA, possible alternative UTR
SPNCRNA.1077			non-coding RNA
SPNCRNA.1078			non-coding RNA, possible alternative UTR
SPNCRNA.1079			non-coding RNA, possible alternative UTR
SPNCRNA.1080			non-coding RNA
SPNCRNA.1081			non-coding RNA
SPNCRNA.1082			non-coding RNA
SPNCRNA.1083			non-coding RNA
SPNCRNA.1085			non-coding RNA, possible alternative UTR
SPNCRNA.1086			non-coding RNA, possible alternative UTR
SPNCRNA.1087			non-coding RNA
SPNCRNA.1088			non-coding RNA
SPNCRNA.1089			non-coding RNA, possible alternative UTR
SPNCRNA.1090			non-coding RNA
SPNCRNA.1091			non-coding RNA
SPNCRNA.1092			non-coding RNA
SPNCRNA.1093			non-coding RNA
SPNCRNA.1094			non-coding RNA
SPNCRNA.1095			non-coding RNA
SPNCRNA.1096			non-coding RNA
SPNCRNA.1097			non-coding RNA
SPNCRNA.1099			non-coding RNA
SPNCRNA.11	prl11		small non-coding RNA, poly(A)-bearing
