O13818	SPAC19A8.02	ltc2
O13819	SPAC19A8.03	ymr1
O13820	SPAC19A8.04	erg5
O13821	SPAC19A8.05c	sst4
O13822	SPAC19A8.06	pbr1
O13823	SPAC19A8.07c	imp4
O13824	SPAC19A8.08	upf2
O13825	SPAC19A8.09	yos1
O13826	SPAC19A8.10	rfp1
O13827	SPAC19A8.11c	irc6
O13828	SPAC19A8.12	dcp2
O13829	SPAC19A8.13	usp101
O13830	SPAC19A8.14	pth2
O13831	SPAC19A8.15	trp2
G2TRL4	SPAC19A8.16	prl65
O36033	SPAC19B12.01	ceo5
Q9P378	SPAC19B12.02c	gas1
Q9P377	SPAC19B12.03	bgs3
P0CT62	SPAC19B12.04	rps3001
Q9P376	SPAC19B12.05c	fcp1
Q9P375	SPAC19B12.06c	rbd4
Q9P374	SPAC19B12.07c	-
Q9P373	SPAC19B12.08	atg4
Q9P372	SPAC19B12.09	srp14
Q9P371	SPAC19B12.10	sst2
Q9P370	SPAC19B12.11c	bud20
P0CU08	SPAC19B12.12c	yip11
Q86ZU7	SPAC19B12.13	cox1102
P32586	SPAC19D5.01	pyp2
Q1K9B6	SPAC19D5.02c	emc10
O13833	SPAC19D5.03	cid1
O13834	SPAC19D5.04	ptr1
O13835	SPAC19D5.05c	imp3
O13836	SPAC19D5.06c	din1
O13837	SPAC19D5.07	uga1
P0CT43	SPAC19D5.09c	Tf2-8
Q65ZA5	SPAC19D5.10c	-
Q65ZA6	SPAC19D5.11c	ctf8
O13838	SPAC19E9.01c	nup40
O13839	SPAC19E9.02	fin1
P87049	SPAC19E9.03	pas1
O42839	SPAC19G12.01c	cut20
P54280	SPAC19G12.02c	pms1
O13842	SPAC19G12.03	cda1
O13843	SPAC19G12.04	dal1
O13844	SPAC19G12.05	mce1
P04910	SPAC19G12.06c	hta2
O13845	SPAC19G12.07c	rsd1
O13846	SPAC19G12.08	scs7
O13848	SPAC19G12.09	-
O13849	SPAC19G12.10c	cpy1
O13850	SPAC19G12.11	coq9
O13851	SPAC19G12.12	dlp1
O13852	SPAC19G12.13c	poz1
O13853	SPAC19G12.14	its3
P78875	SPAC19G12.15c	tpp1
O13854	SPAC19G12.16c	adg2
G2TRN4	SPAC19G12.17	erh1
O13855	SPAC1A6.01c	rqt4
O13856	SPAC1A6.02	wdr55
O13857	SPAC1A6.03c	plb3
P78854	SPAC1A6.04c	plb1
Q9Y827	SPAC1A6.05c	ptl3
Q9Y826	SPAC1A6.06c	meu31
O13858	SPAC1A6.07	sle1
O13859	SPAC1A6.08c	mug125
P78970	SPAC1A6.09c	lag1
O13861	SPAC1A6.10	tcd1
Q9C114	SPAC1A6.11	-
O13862	SPAC1B1.01	deb1
O13863	SPAC1B1.02c	-
O13864	SPAC1B1.03c	kap95
O13865	SPAC1B1.04c	pan3
Q9UTF8	SPAC1B2.02c	ugo1
